checklist_scientificName	checklist_group	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Rosa glauca	plants	Plantae	3003709	ACCEPTED
Rosa multiflora	plants	Plantae	3003244	ACCEPTED
Rubus laciniatus	plants	Plantae	2992543	ACCEPTED
Rubus spectabilis	plants	Plantae	2993761	ACCEPTED
Rudbeckia laciniata	plants	Plantae	3114229	ACCEPTED
Sagittaria latifolia	aquatic plants	Plantae	5328909	ACCEPTED
Saururus cernuus	plants	Plantae	5384932	ACCEPTED
Sinanodonta woodiana	mollusca	Animalia	4559541	ACCEPTED
Spiraea alba	plants	Plantae	7787813	ACCEPTED
Symphyotrichum lanceolatum	plants	Plantae	9202318	ACCEPTED
Symphyotrichum novae-angliae	plants	Plantae	3151618	ACCEPTED
Symphyotrichum novi-belgii	plants	Plantae	3151558	ACCEPTED
Syrmaticus reevesii	birds	Animalia	2473477	ACCEPTED
Tamiasciurus hudsonicus	mammals	Animalia	2437282	ACCEPTED
Triturus carnifex	amphibians	Animalia	2431887	ACCEPTED
Vaccinium corymbosum	plants	Plantae	2882849	ACCEPTED
Vaccinium macrocarpon Aiton	plants	Plantae	2882841	ACCEPTED
Zizania latifolia	plants	Plantae	10919373	ACCEPTED
